gene_id,log2FoldChange,pvalue,padj
PLA2G1B,2.0254921017543794,1.5092820322727024e-08,1.9497803378075e-06
ENSG00000279382,-1.410766382,1.521394778109349e-08,1.9573401213182134e-06
MIR503HG,-1.637303552,1.5352580073686335e-08,1.9670807821461307e-06
PRADC1,0.8151997187979234,1.627570444096207e-08,2.0768463181134582e-06
ATF6B,-0.480446605,1.709929889076168e-08,2.1730706553735055e-06
PRSS35,-1.430297239,1.7994137108845113e-08,2.2775332325256065e-06
NFS1,0.5894470830524272,1.8445378381418498e-08,2.3158950375031586e-06
PLAAT2,2.088622943114662,1.8439694160499836e-08,2.3158950375031586e-06
DACT1,-1.584080993,1.861363265056768e-08,2.32767199021879e-06
ENSG00000279386,2.139059971908298,1.8845611242608236e-08,2.347292208277535e-06
CCDC152,1.194830781650067,1.8965664922366894e-08,2.3528713589998263e-06
ESS2,-0.724131288,1.9169013458823565e-08,2.3686990820679885e-06
MTFR1L,0.5487114659026741,1.953201324981497e-08,2.4027429946991696e-06
C11orf96,-1.692731747,1.9598229973076424e-08,2.4027429946991696e-06
DOK5,-1.767919106,1.9762770535215948e-08,2.4134511532908444e-06
ENSG00000216906,1.6952499977002293,2.0709560047690308e-08,2.5192333687585297e-06
PAXX,-0.939834754,2.098234596345498e-08,2.542523573083306e-06
BGN,-1.604994354,2.1568023858116108e-08,2.603402045854378e-06
SLC35G1,0.9576192378544115,2.1659589730847186e-08,2.604399052905675e-06
TOP3B,-0.676723903,2.3464302975812542e-08,2.810591969091293e-06
COL14A1,-1.750514936,2.4860218655501595e-08,2.966431358118116e-06
LINC00624,-1.467266081,2.5945175379362556e-08,3.0841217410076485e-06
MFAP4,-2.319669737,2.6166451047432802e-08,3.0986430268783777e-06
CHD5,-2.028896431,2.688016090545654e-08,3.1711489448576896e-06
FANCC,0.6507740794366591,2.7247777315655757e-08,3.2024333166140826e-06
LINC02649,-1.651033237,2.8565133850217974e-08,3.344688312956421e-06
ENSG00000297150,-1.991634124,2.958201527458477e-08,3.450830386303521e-06
TBKBP1,-0.828630496,3.014656538998e-08,3.5036136572005377e-06
NPDC1,-1.224513909,3.044086561811676e-08,3.5247140067377196e-06
MOSPD3,0.7038752640942146,3.132914414243783e-08,3.614180934778723e-06
KCTD17,-1.196944626,3.165074784761558e-08,3.6378578307353157e-06
TFPI2,1.9115271530944828,3.1925802931693355e-08,3.656030685177763e-06
MGAT5B,-2.188565276,3.313125648757805e-08,3.780227998434863e-06
TMPRSS4,-4.043221598,3.371932449607036e-08,3.833335424438719e-06
HIBADH,0.7576478710469934,3.46439050133129e-08,3.868115722968576e-06
HIGD1A,0.7661357979821141,3.4618289067917843e-08,3.868115722968576e-06
ZFP36,-1.022766547,3.4621095618363966e-08,3.868115722968576e-06
ENSG00000290812,-2.180096229,3.462895869062398e-08,3.868115722968576e-06
ENSG00000291250,-3.286813212,3.450967807047205e-08,3.868115722968576e-06
ENSG00000234353,-1.996785266,3.510024711674546e-08,3.897388672845496e-06
ENSG00000273179,-1.603040425,3.515541073289287e-08,3.897388672845496e-06
ENSG00000298462,-4.57148887,3.583292564675343e-08,3.958462030015733e-06
ENSG00000301802,-2.306902606,3.6232896461319605e-08,3.9885529650360385e-06
SERPINH1,-1.033823496,3.683702402050623e-08,4.040827655975742e-06
PGM2,0.9389491801078799,3.7787802062054e-08,4.130629565965015e-06
SOCS3,-1.447519273,3.8037068860950956e-08,4.133522342546457e-06
C2CD4A,-2.100664642,3.807870116922175e-08,4.133522342546457e-06
ENSG00000297862,-1.612810529,3.854723438203266e-08,4.1699037663857684e-06
LINC00680,-0.586362594,4.026374075076392e-08,4.340570093417698e-06
RABEPK,0.5977426965360423,4.160293398868979e-08,4.469527578310684e-06
ARHGEF25,-1.533448331,4.175221987359268e-08,4.4702042805072875e-06
ENSG00000285367,1.965897250893765,4.220742719650097e-08,4.503518076601399e-06
FBN1,-1.630458082,4.3021213950449936e-08,4.5747354140575385e-06
PDGFRB,-1.066021734,4.35672790831636e-08,4.617097782972691e-06
NR4A1,-1.512843813,4.41217442679981e-08,4.660061118413597e-06
MGP,-1.770189396,4.431426593377394e-08,4.664636013089477e-06
REXO5,0.844597025688705,4.5536577488585366e-08,4.777214839012229e-06
ENSG00000285589,-1.02270571,4.72627552093807e-08,4.941724134150063e-06
MIR663AHG,5.029699311429493,4.9724561627051204e-08,5.181796567155005e-06
C1QTNF7,-1.886614887,5.000125886851816e-08,5.193320119622868e-06
DNER,3.2336049201972754,5.095101504683117e-08,5.257034928742847e-06
ARHGAP6,-1.057850094,5.085460808262791e-08,5.257034928742847e-06
SLC27A1,-0.953188264,5.1202044613748134e-08,5.265557634077658e-06
GHR,1.5451305559543416,5.1401754184288674e-08,5.2687640690603836e-06
LINC00862,-1.427621507,5.2828751793080925e-08,5.397337474859768e-06
EFCC1,-1.511235998,5.462293846244303e-08,5.552108781997522e-06
GEM,-1.63617902,5.4698829442319573e-08,5.552108781997522e-06
OVOL1-AS1,3.5044421887332966,5.605126483697587e-08,5.670973115205102e-06
LIMS4,-0.978131293,5.663300520137151e-08,5.71134723100154e-06
TDRD1,3.2754338991117775,5.782521822120454e-08,5.812828930062757e-06
CCL21,-2.298408132,5.8967557251159606e-08,5.908662635714753e-06
BLK,-2.39454128,6.004635726052194e-08,5.997537594363251e-06
KCNQ4,-1.566817476,6.245486313956385e-08,6.218236899147085e-06
PAPLN,-1.610670841,6.549931829227151e-08,6.500651389750109e-06
RAPGEF3,-1.245142275,6.863843887032202e-08,6.790644032920497e-06
GTSF1,2.466060723193363,6.917242833561731e-08,6.821885258853008e-06
ISLR,-2.235834247,6.946613540001475e-08,6.82930751890145e-06
GUSBP11,-1.147383088,7.015160480440348e-08,6.875077181818389e-06
TCAP,2.0222492105534484,7.060279546788673e-08,6.8877558683090916e-06
RTEL1,-0.736015074,7.072160809030542e-08,6.8877558683090916e-06
PAX5,-1.795055321,7.154436057273867e-08,6.946246411756302e-06
GSC,-3.708459784,7.448638966138587e-08,7.209498451962558e-06
SLC16A8,-1.884791461,8.10530208533796e-08,7.820866021417305e-06
CD19,-2.413426139,8.194414735965258e-08,7.846783143843912e-06
A4GNT,-3.205725496,8.207459578533599e-08,7.846783143843912e-06
ZMYND15,-1.408161894,8.179803472849441e-08,7.846783143843912e-06
CASP9,0.6142265891503683,8.262322748411856e-08,7.875152319621946e-06
DNAJC22,-1.009270882,8.468389231314101e-08,8.047028952540204e-06
CTSV,2.0665931361627115,8.540900137496509e-08,8.091338212077374e-06
ZNF492,2.2363254609677967,8.625640919153697e-08,8.098000362027089e-06
IGLV2-18,-3.289750959,8.60091273415122e-08,8.098000362027089e-06
NEO1,-0.660029126,8.611273418806904e-08,8.098000362027089e-06
ENSG00000284431,-1.285500157,8.897534294986797e-08,8.328251936053061e-06
